01 01 2017, 0.00, 5.18
02 01 2017, 0.00, 5.95
03 01 2017, 0.00, 24.64
04 01 2017, 0.00, 10.52
05 01 2017, 0.00, 4.02
06 01 2017, 0.19, 2.77
07 01 2017, 0.00, 1.58
08 01 2017, 0.00, 2.16
09 01 2017, 0.00, 4.49
10 01 2017, 0.00, 11.77
11 01 2017, 0.00, 9.32
12 01 2017, 10.57, 24.62
13 01 2017, 0.00, 8.32
14 01 2017, 0.00, 11.65
15 01 2017, 0.00, 13.45
16 01 2017, 0.00, 21.23
17 01 2017, 0.00, 26.03
18 01 2017, 0.00, 11.20
19 01 2017, 0.00, 8.36
20 01 2017, 0.00, 26.45
21 01 2017, 0.00, 15.44
22 01 2017, 0.00, 13.91
23 01 2017, 0.00, 17.13
24 01 2017, 0.00, 9.38
25 01 2017, 0.00, 13.51
26 01 2017, 0.00, 7.57
27 01 2017, 10.03, 6.06
28 01 2017, 0.00, 6.29
29 01 2017, 1.57, 6.06
30 01 2017, 11.77, 4.35
31 01 2017, 0.00, 8.06
01 02 2017, 0.00, 9.49
02 02 2017, 0.00, 8.23
03 02 2017, 0.00, 5.00
04 02 2017, 0.00, 1.66
05 02 2017, 0.00, 9.10
06 02 2017, 0.00, 10.42
07 02 2017, 0.00, 20.42
08 02 2017, 0.00, 12.17
09 02 2017, 0.00, 7.96
10 02 2017, 0.00, 4.22
11 02 2017, 0.00, 16.43
12 02 2017, 0.00, 27.95
13 02 2017, 0.00, 3.79
14 02 2017, 0.00, 7.98
15 02 2017, 0.00, 5.34
16 02 2017, 0.00, 5.67
17 02 2017, 0.00, 11.76
18 02 2017, 0.00, 3.81
19 02 2017, 0.00, 11.20
20 02 2017, 0.00, 12.13
21 02 2017, 0.00, 20.48
22 02 2017, 11.96, 21.13
23 02 2017, 0.00, 12.72
24 02 2017, 0.00, 23.96
25 02 2017, 0.00, 8.51
26 02 2017, 0.00, 2.67
27 02 2017, 0.00, 7.36
28 02 2017, 0.00, 10.57
01 03 2017, 753.59, 25.46
02 03 2017, 0.01, 6.31
03 03 2017, 0.00, 4.99
04 03 2017, 0.00, 7.48
05 03 2017, 0.00, 9.98
06 03 2017, 0.00, 20.67
07 03 2017, 1.27, 27.33
08 03 2017, 6.83, 4.87
09 03 2017, 0.00, 7.07
10 03 2017, 0.00, 12.16
11 03 2017, 0.00, 6.97
12 03 2017, 0.00, 4.82
13 03 2017, 0.00, 6.63
14 03 2017, 0.00, 7.64
15 03 2017, 0.00, 2.34
16 03 2017, 0.00, 2.32
17 03 2017, 0.00, 15.97
18 03 2017, 0.00, 9.35
19 03 2017, 0.00, 7.52
20 03 2017, 0.00, 16.42
21 03 2017, 0.00, 18.96
22 03 2017, 0.00, 10.56
23 03 2017, 0.00, 6.42
24 03 2017, 0.00, 25.39
25 03 2017, 28.79, 22.03
26 03 2017, 74.43, 26.67
27 03 2017, 0.00, 19.05
28 03 2017, 0.00, 24.64
29 03 2017, 0.00, 16.91
30 03 2017, 0.00, 24.80
31 03 2017, 50.69, 20.28
01 04 2017, 0.00, 13.90
02 04 2017, 0.00, 13.67
03 04 2017, 0.00, 19.08
04 04 2017, 0.94, 24.58
05 04 2017, 0.00, 17.44
06 04 2017, 0.00, 18.35
07 04 2017, 3.29, 8.27
08 04 2017, 0.00, 4.90
09 04 2017, 0.00, 15.52
10 04 2017, 37.55, 19.43
11 04 2017, 1286.88, 19.93
12 04 2017, 0.00, 7.66
13 04 2017, 0.00, 9.94
14 04 2017, 81.34, 25.86
15 04 2017, 49.47, 32.80
16 04 2017, 0.00, 21.65
17 04 2017, 0.00, 13.35
18 04 2017, 0.00, 8.43
19 04 2017, 0.00, 19.12
20 04 2017, 489.94, 27.65
21 04 2017, 0.00, 15.86
22 04 2017, 0.00, 10.78
23 04 2017, 0.00, 6.10
24 04 2017, 0.00, 5.03
25 04 2017, 0.00, 5.10
26 04 2017, 0.00, 23.25
27 04 2017, 0.00, 31.60
28 04 2017, 2.24, 9.60
29 04 2017, 0.00, 27.54
30 04 2017, 1.20, 3.24
01 05 2017, 270.44, 37.62
02 05 2017, 20.77, 14.44
03 05 2017, 1.72, 12.06
04 05 2017, 25.16, 21.59
05 05 2017, 0.00, 12.03
06 05 2017, 0.00, 9.43
07 05 2017, 0.00, 8.71
08 05 2017, 0.00, 14.66
09 05 2017, 0.00, 27.78
10 05 2017, 838.56, 27.85
11 05 2017, 434.58, 37.24
12 05 2017, 3.72, 24.92
13 05 2017, 0.00, 14.54
14 05 2017, 0.00, 18.85
15 05 2017, 0.00, 23.40
16 05 2017, 2.97, 18.18
17 05 2017, 89.52, 21.87
18 05 2017, 580.25, 29.80
19 05 2017, 683.90, 25.36
20 05 2017, 0.00, 24.77
21 05 2017, 6.13, 25.91
22 05 2017, 0.00, 11.59
23 05 2017, 10.66, 25.92
24 05 2017, 0.00, 22.64
25 05 2017, 60.90, 21.07
26 05 2017, 7.59, 17.68
27 05 2017, 848.71, 35.13
28 05 2017, 89.65, 24.97
29 05 2017, 37.55, 18.15
30 05 2017, 27.94, 15.58
31 05 2017, 27.33, 15.67
01 06 2017, 0.00, 8.36
02 06 2017, 0.00, 11.35
03 06 2017, 0.00, 15.12
04 06 2017, 0.00, 24.83
05 06 2017, 109.91, 29.07
06 06 2017, 9.57, 21.16
07 06 2017, 0.00, 11.73
08 06 2017, 0.00, 11.12
09 06 2017, 0.00, 16.45
10 06 2017, 5.51, 25.97
11 06 2017, 0.00, 19.50
12 06 2017, 331.50, 24.54
13 06 2017, 1508.00, 32.65
14 06 2017, 1251.62, 37.07
16 06 2017, 1085.31, 28.76
17 06 2017, 2159.50, 35.57
18 06 2017, 706.34, 44.77
19 06 2017, 54.36, 22.98
20 06 2017, 194.17, 22.33
21 06 2017, 27.45, 31.47
22 06 2017, 2036.21, 46.97
23 06 2017, 1186.15, 44.52
24 06 2017, 0.00, 24.29
25 06 2017, 0.00, 11.83
26 06 2017, 15.69, 13.90
27 06 2017, 68.69, 22.60
28 06 2017, 0.00, 12.58
29 06 2017, 12.76, 29.03
30 06 2017, 1170.53, 44.50
01 07 2017, 657.62, 31.81
02 07 2017, 46.82, 25.12
03 07 2017, 775.18, 37.39
04 07 2017, 391.76, 30.04
05 07 2017, 408.85, 39.33
06 07 2017, 1443.43, 46.07
07 07 2017, 1049.63, 32.51
08 07 2017, 1209.24, 30.25
09 07 2017, 0.00, 19.03
10 07 2017, 1974.68, 35.34
11 07 2017, 3052.05, 47.31
12 07 2017, 4033.87, 47.49
13 07 2017, 3044.85, 50.85
14 07 2017, 427.65, 44.65
15 07 2017, 0.00, 17.85
16 07 2017, 0.00, 18.50
17 07 2017, 837.29, 35.15
18 07 2017, 0.00, 19.47
19 07 2017, 1428.19, 31.80
20 07 2017, 1695.40, 38.40
21 07 2017, 3466.09, 46.57
22 07 2017, 2662.72, 41.37
23 07 2017, 2770.80, 51.22
24 07 2017, 1922.78, 33.65
25 07 2017, 0.46, 23.23
26 07 2017, 71.08, 24.74
27 07 2017, 2606.10, 43.42
28 07 2017, 442.04, 43.91
29 07 2017, 6.68, 23.95
30 07 2017, 0.00, 14.11
31 07 2017, 2.79, 18.80
01 08 2017, 97.80, 26.77
02 08 2017, 42.34, 34.69
03 08 2017, 429.55, 30.51
04 08 2017, 2549.03, 37.64
05 08 2017, 0.00, 17.67
06 08 2017, 5.62, 24.08
07 08 2017, 23.95, 38.82
08 08 2017, 71.23, 26.43
09 08 2017, 0.00, 16.77
10 08 2017, 0.00, 18.13
11 08 2017, 944.38, 32.22
12 08 2017, 0.00, 20.17
13 08 2017, 0.00, 17.75
14 08 2017, 0.00, 22.31
15 08 2017, 476.86, 34.81
16 08 2017, 482.61, 37.45
17 08 2017, 1285.78, 52.37
18 08 2017, 3.99, 22.38
19 08 2017, 313.12, 28.18
20 08 2017, 501.07, 23.00
21 08 2017, 3214.59, 49.14
22 08 2017, 1385.47, 46.05
23 08 2017, 0.00, 15.72
24 08 2017, 0.00, 17.57
25 08 2017, 0.00, 22.66
26 08 2017, 0.00, 26.51
27 08 2017, 0.00, 31.71
28 08 2017, 188.18, 35.18
29 08 2017, 45.33, 30.77
30 08 2017, 0.00, 24.56
31 08 2017, 28.09, 26.09
01 09 2017, 0.00, 17.43
02 09 2017, 0.00, 9.55
03 09 2017, 0.00, 24.87
04 09 2017, 0.00, 20.09
05 09 2017, 1440.61, 34.24
06 09 2017, 21.08, 15.05
07 09 2017, 10.90, 15.29
08 09 2017, 0.00, 19.04
09 09 2017, 0.00, 16.94
10 09 2017, 35.29, 21.28
11 09 2017, 0.00, 11.52
12 09 2017, 0.00, 14.97
13 09 2017, 0.00, 26.22
14 09 2017, 0.00, 34.84
15 09 2017, 0.00, 21.27
16 09 2017, 0.00, 24.66
17 09 2017, 30.13, 32.51
18 09 2017, 0.00, 39.39
19 09 2017, 250.40, 38.64
20 09 2017, 780.46, 29.96
21 09 2017, 1835.35, 31.44
22 09 2017, 1838.20, 34.28
23 09 2017, 757.47, 34.99
24 09 2017, 38.41, 28.35
25 09 2017, 10.48, 26.95
