12Z 02 Mar 2017, 0.00, 4.46
00Z 03 Mar 2017, 0.00, 4.99
12Z 03 Mar 2017, 0.00, 2.38
00Z 04 Mar 2017, 0.00, 7.48
12Z 04 Mar 2017, 0.00, 8.50
00Z 05 Mar 2017, 0.00, 9.98
12Z 05 Mar 2017, 0.00, 8.34
00Z 06 Mar 2017, 0.00, 20.67
12Z 06 Mar 2017, 0.00, 25.37
00Z 07 Mar 2017, 1.27, 27.33
12Z 07 Mar 2017, 0.00, 12.20
00Z 08 Mar 2017, 6.83, 4.87
12Z 08 Mar 2017, 0.00, 3.72
00Z 09 Mar 2017, 0.00, 7.07
12Z 09 Mar 2017, 0.00, 6.32
00Z 10 Mar 2017, 0.00, 12.16
12Z 10 Mar 2017, 0.00, 3.79
00Z 11 Mar 2017, 0.00, 6.97
12Z 11 Mar 2017, 0.00, 7.75
00Z 12 Mar 2017, 0.00, 4.82
12Z 12 Mar 2017, 0.00, 3.09
00Z 13 Mar 2017, 0.00, 6.63
12Z 13 Mar 2017, 0.00, 11.31
00Z 14 Mar 2017, 0.00, 7.64
12Z 14 Mar 2017, 0.00, 4.31
00Z 15 Mar 2017, 0.00, 2.34
12Z 15 Mar 2017, 0.00, 1.96
00Z 16 Mar 2017, 0.00, 2.32
12Z 16 Mar 2017, 0.00, 3.79
00Z 17 Mar 2017, 0.00, 15.97
12Z 17 Mar 2017, 0.00, 26.47
00Z 18 Mar 2017, 0.00, 9.35
12Z 18 Mar 2017, 0.00, 5.82
00Z 19 Mar 2017, 0.00, 7.52
12Z 19 Mar 2017, 0.00, 8.70
00Z 20 Mar 2017, 0.00, 16.42
12Z 20 Mar 2017, 0.00, 30.13
00Z 21 Mar 2017, 0.00, 18.96
12Z 21 Mar 2017, 0.00, 14.74
00Z 22 Mar 2017, 0.00, 10.56
12Z 22 Mar 2017, 0.00, 4.57
00Z 23 Mar 2017, 0.00, 6.42
12Z 23 Mar 2017, 0.00, 13.62
00Z 24 Mar 2017, 0.00, 25.39
12Z 24 Mar 2017, 0.00, 17.17
00Z 25 Mar 2017, 28.79, 22.03
12Z 25 Mar 2017, 0.00, 32.35
00Z 26 Mar 2017, 74.43, 26.67
12Z 26 Mar 2017, 2.89, 20.81
00Z 27 Mar 2017, 0.00, 19.05
12Z 27 Mar 2017, 0.00, 22.84
00Z 28 Mar 2017, 0.00, 24.64
12Z 28 Mar 2017, 0.00, 15.93
00Z 29 Mar 2017, 0.00, 16.91
12Z 29 Mar 2017, 0.00, 19.19
00Z 30 Mar 2017, 0.00, 24.80
12Z 30 Mar 2017, 0.00, 26.03
00Z 31 Mar 2017, 50.69, 20.28
12Z 31 Mar 2017, 0.00, 19.30
00Z 01 Apr 2017, 0.00, 13.90
12Z 01 Apr 2017, 0.00, 12.48
00Z 02 Apr 2017, 0.00, 13.67
12Z 02 Apr 2017, 0.00, 20.14
00Z 03 Apr 2017, 0.00, 19.08
12Z 03 Apr 2017, 0.00, 22.13
00Z 04 Apr 2017, 0.94, 24.58
12Z 04 Apr 2017, 0.00, 14.07
00Z 05 Apr 2017, 0.00, 17.44
12Z 05 Apr 2017, 0.00, 22.45
18Z 05 Apr 2017, 0.00, 19.17
00Z 06 Apr 2017, 0.00, 18.35
12Z 06 Apr 2017, 0.00, 11.26
00Z 07 Apr 2017, 3.29, 8.27
12Z 07 Apr 2017, 0.00, 3.97
00Z 08 Apr 2017, 0.00, 4.90
12Z 08 Apr 2017, 0.00, 10.90
00Z 09 Apr 2017, 0.00, 15.52
12Z 09 Apr 2017, 0.00, 22.84
00Z 10 Apr 2017, 37.55, 19.43
12Z 10 Apr 2017, 0.00, 24.74
00Z 11 Apr 2017, 1286.88, 19.93
12Z 11 Apr 2017, 0.00, 9.31
00Z 12 Apr 2017, 0.00, 7.66
12Z 12 Apr 2017, 0.00, 9.50
00Z 13 Apr 2017, 0.00, 9.94
12Z 13 Apr 2017, 0.00, 18.66
00Z 14 Apr 2017, 81.34, 25.86
12Z 14 Apr 2017, 0.00, 22.22
00Z 15 Apr 2017, 49.47, 32.80
12Z 15 Apr 2017, 3.91, 24.89
00Z 16 Apr 2017, 0.00, 21.65
12Z 16 Apr 2017, 0.00, 27.93
00Z 17 Apr 2017, 0.00, 13.35
12Z 17 Apr 2017, 0.00, 11.81
00Z 18 Apr 2017, 0.00, 8.43
12Z 18 Apr 2017, 0.00, 7.70
00Z 19 Apr 2017, 0.00, 19.12
12Z 19 Apr 2017, 14.15, 28.91
00Z 20 Apr 2017, 489.94, 27.65
12Z 20 Apr 2017, 266.80, 28.16
00Z 21 Apr 2017, 0.00, 15.86
12Z 21 Apr 2017, 0.00, 8.59
00Z 22 Apr 2017, 0.00, 10.78
12Z 22 Apr 2017, 0.00, 9.07
00Z 23 Apr 2017, 0.00, 6.10
12Z 23 Apr 2017, 0.00, 3.76
00Z 24 Apr 2017, 0.00, 5.03
