15 06 2017, 35.81, 33.77
16 06 2017, 92.51, 35.62
17 06 2017, 135.99, 36.66
18 06 2017, 383.06, 41.27
19 06 2017, 139.77, 23.11
20 06 2017, 0.00, 17.74
21 06 2017, 6.14, 35.91
22 06 2017, 145.07, 34.17
23 06 2017, 383.04, 48.93
24 06 2017, 0.00, 19.74
25 06 2017, 0.00, 12.32
26 06 2017, 0.00, 16.76
27 06 2017, 0.00, 12.13
28 06 2017, 0.00, 23.52
29 06 2017, 0.59, 33.75
30 06 2017, 360.21, 34.05
01 07 2017, 458.28, 25.78
02 07 2017, 0.00, 23.04
03 07 2017, 2.97, 30.52
04 07 2017, 636.78, 35.26
05 07 2017, 860.40, 43.03
06 07 2017, 487.47, 36.83
07 07 2017, 1285.95, 42.43
08 07 2017, 0.00, 20.30
09 07 2017, 0.00, 27.47
10 07 2017, 1309.82, 37.18
11 07 2017, 2159.52, 53.73
12 07 2017, 356.80, 36.04
13 07 2017, 698.62, 58.57
14 07 2017, 0.00, 30.30
15 07 2017, 0.00, 17.70
16 07 2017, 213.52, 36.17
17 07 2017, 0.00, 21.46
18 07 2017, 0.00, 17.05
19 07 2017, 298.92, 45.34
20 07 2017, 876.86, 45.21
21 07 2017, 1116.51, 52.33
22 07 2017, 154.31, 53.67
23 07 2017, 2815.61, 44.51
24 07 2017, 0.00, 23.17
25 07 2017, 0.00, 25.41
26 07 2017, 36.54, 30.39
27 07 2017, 238.89, 58.73
28 07 2017, 0.00, 26.70
29 07 2017, 0.00, 17.53
30 07 2017, 0.00, 14.86
31 07 2017, 0.01, 24.64
01 08 2017, 347.31, 36.04
02 08 2017, 156.82, 26.92
03 08 2017, 746.46, 36.52
04 08 2017, 0.00, 13.67
05 08 2017, 0.00, 16.64
06 08 2017, 0.00, 35.56
07 08 2017, 45.81, 33.40
08 08 2017, 0.00, 11.39
09 08 2017, 0.00, 15.50
10 08 2017, 0.00, 29.85
11 08 2017, 60.31, 35.30
12 08 2017, 0.00, 17.82
13 08 2017, 0.00, 16.60
14 08 2017, 0.00, 29.67
15 08 2017, 82.65, 31.55
16 08 2017, 634.57, 37.91
17 08 2017, 0.00, 43.83
18 08 2017, 0.00, 21.42
19 08 2017, 487.25, 33.82
20 08 2017, 278.10, 25.80
21 08 2017, 1237.77, 39.36
22 08 2017, 43.34, 47.56
23 08 2017, 0.00, 15.09
24 08 2017, 0.00, 24.55
25 08 2017, 0.00, 29.96
26 08 2017, 0.00, 25.58
27 08 2017, 0.00, 27.37
28 08 2017, 235.07, 33.45
29 08 2017, 0.00, 28.40
30 08 2017, 0.00, 26.41
31 08 2017, 0.00, 26.90
01 09 2017, 0.00, 14.97
02 09 2017, 0.00, 6.72
03 09 2017, 0.00, 18.31
04 09 2017, 0.00, 26.53
05 09 2017, 0.00, 11.49
06 09 2017, 0.00, 16.42
07 09 2017, 0.00, 18.52
